1603273800
12O45X78X/0,02/0,02/0,02/0,02/0,84/0,02/0,92/0,01956083/0,02/2863950
XOO4OX7XX/0,02/0,02/0,02/0,02/0,02/0,02/0,86/0,02/0,02/221807
X23O5XO8X/0,07/0,06/0,37/0,07/0,17/0,07/0,07/0,05/0,06/222596
X234OXO8X/0,02/0,02/0,85/0,02/0,02/0,02/0,02/0,02/0,02/1141982
X234OX789/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/3329899
1XOOX678X/0,15/0,11/0,1/0,1/0,09/0,11/0,1/0,1/0,11/222857
1XOOXOX8X/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,11/0,11/222612
1XO4X6789/0,12/0,12/0,12/0,11/0,1/0,1/0,1/0,1/0,11/1111799
OXO4OXXX9/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,85/221524
1X34O6X89/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,0196/0,02/3334701
OX34O6XX9/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,02/0,84/221930
12X45OX89/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/1110598
12XX5OXO9/0,11/0,12/0,11/0,11/0,12/0,11/0,12/0,1/0,08/222499
X2XXO67O9/0,02/0,84/0,02/0,02/0,02/0,02/0,02/0,02/0,02/222364
12XX567O9/0,12/0,12/0,12/0,12/0,12/0,12/0,12/0,12/0,92/18910188
1234X6X8O/0,1/0,1/0,24/0,11/0,1/0,09/0,1/0,04409763/0,1/1273013
OOXX5X7XO/0,02/0,02/0,02/0,02/0,85/0,02/0,02/0,02/0,02/222790
123X567XO/0,13/0,13/0,13/0,13/0,010944055/0,01/0,01/0,13/0,13/21288495
O23X5X7XO/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/0,02/222136
12XO56OXX/0,22/0,26/0,01/0,01/0,23/0,23/0,01/0,01/0,01/222304
X2XOO6OXX/0,01/0,44/0,01/0,01/0,01/0,48/0,01/0,01/0,01/222291
12X456O8X/0,02/0,02/0,02/0,02/0,02/0,84/0,02/0,02/0,02/1114799
OX3XX678O/0,11/0,12/0,1/0,12/0,11/0,13/0,12/0,12/0,11/222266
