80000
X2X4X67OO/0,11/0,11/0,11/0,11/0,015000001/-6,980034/-6,980034/0,11/0,11/748
X234OX7O9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/1,0600002/18
X2X4OX7OO/0,11/0,11/0,11/0,11/0,015000001/0,11/0,110000014/0,11/0,11/6
1234O6XOX/0,11/0,11/0,11/0,11/0,015000001/47,112072/0,11/0,11/0,11/2362
12X4OOXOX/0,11/0,11/0,11/51,502247/0,015000001/0,11/0,11/0,11/0,11/2520
X2O4O67XX/0,11/0,11/0,11/0,11/0,015000001/46,602135/0,11/0,11/0,11/2422
X2O4OOXXX/0,11/0,11/0,11/21,239239/0,015000001/0,11/0,11/0,11/0,11/1094
X2345X78O/0,11/0,11/0,11/0,11/0,015000001/0,11/-8,315041/-8,31004/0,11/1256
X2X4OX78O/0,11/0,11/0,11/0,11/0,015000001/0,11/-1,1549997/-1,1549997/0,11/146
X2X4OOO8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-5,5850115/0,11/6197
X234X6O89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-8,450041/-8,450041/1012
X2X4X6OO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-6,2450266/299
X2X4XXOOO/0,11/0,11/0,11/-60,852875/0,015000001/0,11/0,11/0,11/0,11/3102
X2XOOXOXO/0,11/47,47209/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2380
XXO456789/0,11/0,11/0,11/0,11/0,015000001/0,015000001/0,015000001/0,015000001/41,31174/7990
XXO4O6X89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,015000001/0,11/1
XXO4OXXO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,01/2
123456XXO/0,11/0,11/0,11/0,11/0,015000001/87,660164/0,11/0,11/0,11/5963
X234O6XXO/0,11/0,11/0,11/0,11/0,015000001/0,015000001/0,11/0,11/0,11/1
X2X4O67O9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-0,65/10
XX3XOOO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-0,120000474/-1,1250001/4231
123XOOX89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-24,119146/-24,119146/4836
1X3XOOXO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-11,9600525/596
1234X6X8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-61,617867/0,11/3093
123XX6XOO/0,11/0,11/0,11/0,11/0,015000001/-51,05729/0,11/0,11/0,11/2565
X23X56OOX/0,11/0,11/0,11/0,11/-1,7549999/-1,7549998/0,11/0,11/0,11/276
12O456X8X/0,11/0,11/0,11/0,11/0,205/0,11/0,11/15,580082/0,11/3929
12OXO6X8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-5,3600254/0,11/790
12OXOXXOX/14,450064/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/654
X2X4OOOX9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/1,1300007/1310
X234567OX/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/1
XX34O67OX/0,11/0,11/0,11/0,11/0,015000001/0,015000001/0,11/0,11/0,11/1
123X56XO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-36,370266/2487
12X4X678O/0,11/0,11/0,11/0,11/0,015000001/-8,620035/-8,620038/-8,620038/0,11/1508
X23XO678O/0,11/0,11/0,11/0,11/0,015000001/0,205/0,11/0,11/0,11/1
X2XXOO78O/0,11/0,11/0,11/0,11/0,015000001/0,11/-1,8300003/-1,8650001/0,11/665
12O4O6XXX/0,11/0,11/0,11/0,11/0,015000001/-4,2150235/0,11/0,11/0,11/759
X2OXOO7XX/0,11/0,11/0,11/0,11/0,015000001/0,11/31,24884/0,11/0,11/1584
X234X6XOO/0,11/0,11/0,11/0,11/0,015000001/-47,67691/0,11/0,11/0,11/2213
1XX4OXOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/0,27999994/3024
X2X45678O/0,11/0,11/0,11/-2,0700016/-2,0750015/-2,0750015/-2,0700014/-2,0700014/0,11/566
1X34O6XO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-48,012135/2424
123X56X8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-38,706055/0,11/2610
X234O6X8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-20,264317/0,11/2389
X234OX78O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,015000001/0,11/0,11/1
XX34OXO8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/4,7700043/0,11/1936
XXO4OO7XX/0,11/0,11/0,11/0,11/0,015000001/0,11/22,094011/0,11/0,11/1571
1X34XO789/0,11/0,11/0,11/0,11/0,015000001/0,11/-8,060032/-8,060035/-8,055035/1211
1X3XXOO89/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-2,7050126/-2,7050147/280
XX3XXOOO9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-2,510008/92
X2O45678X/0,11/0,11/0,11/0,11/87,725716/0,11/0,11/0,11/0,11/7869
X2O4O6X8X/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-11,475053/0,11/1575
X2O4OXXOX/0,11/0,11/0,11/14,070074/0,015000001/0,11/0,11/0,11/0,11/758
1XXO56789/0,11/0,11/0,11/0,11/-1,7049998/-1,7099998/-1,7099998/-1,7149997/-1,7149997/905
1XXOO67X9/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/0,11/-0,17499995/79
1XXOOX7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/-2,610014/0,11/0,11/202
123XO67XO/0,11/0,11/0,11/0,11/0,015000001/94,914276/0,11/0,11/0,11/4851
1234XOXXO/0,015000001/14,115066/0,11/0,11/0,015000001/0,11/0,11/0,11/0,11/2018
123XO6X8O/0,11/0,11/0,11/0,11/0,015000001/0,11/0,11/-21,869112/0,11/2432
12XXOO7XO/0,11/0,11/0,11/0,11/0,015000001/0,11/75,16496/0,11/0,11/3654
